"theMonth","theWeek","theDay","theYear","total","MoundCount","NinthCount","CollinsCount","HarveyDayCount","HeroCount"
10,41,16,2014,1,0,0,0,0,0
10,41,17,2014,1,0,0,0,0,0
10,41,18,2014,1,0,0,0,0,0
10,42,20,2014,1,0,0,0,0,0
10,42,21,2014,3,1,0,0,0,0
10,42,22,2014,1,0,0,0,0,0
10,42,23,2014,4,0,0,0,0,0
10,42,24,2014,2,0,0,0,0,0
10,42,25,2014,11,0,0,0,0,0
10,43,26,2014,3,0,0,0,0,0
10,43,27,2014,2,0,0,0,0,0
10,43,28,2014,6,0,0,0,0,0
10,43,29,2014,15,0,0,0,0,0
10,43,30,2014,17,0,0,0,0,0
10,43,31,2014,2,0,0,0,0,0
11,44,4,2014,1,0,0,0,0,0
11,44,8,2014,1,0,0,0,0,0
11,45,11,2014,4,0,0,0,0,0
2,5,4,2015,1,0,0,0,0,0
2,7,15,2015,1,0,0,0,0,0
2,8,26,2015,1,0,0,0,0,0
3,9,6,2015,2,0,0,0,1,0
3,11,21,2015,1,0,0,0,0,0
4,15,15,2015,2,0,0,0,0,0
4,15,16,2015,1,0,0,0,0,0
4,16,23,2015,1,0,0,0,0,0
4,16,25,2015,1,0,0,0,0,0
5,18,8,2015,1,0,0,0,0,0
5,21,29,2015,1,0,0,0,0,0
5,22,31,2015,8,0,0,0,4,0
6,22,5,2015,1,0,0,0,0,0
6,23,11,2015,1,0,0,0,0,0
6,23,13,2015,4,1,0,0,0,0
6,24,14,2015,6,1,0,0,0,0
6,24,16,2015,1,0,0,0,1,0
7,30,29,2015,1,0,0,0,0,0
8,33,16,2015,1,0,0,0,0,0
8,34,29,2015,1,0,0,0,1,0
9,35,3,2015,1,0,0,0,0,0
9,35,4,2015,1,0,0,0,0,0
9,35,5,2015,2,0,0,0,0,0
9,36,6,2015,1,0,0,0,0,0
9,36,7,2015,2,0,0,0,0,0
9,36,8,2015,2,0,0,0,0,0
9,36,9,2015,2,0,0,0,0,0
9,37,15,2015,2,0,0,0,0,0
9,38,20,2015,1,0,0,0,0,0
9,38,21,2015,1,0,0,0,0,0
9,38,26,2015,3,0,0,0,0,0
10,40,7,2015,1,0,0,0,0,0
10,40,8,2015,1,0,0,0,0,0
10,40,10,2015,1,0,0,0,0,0
10,41,12,2015,1,0,0,0,0,0
10,41,13,2015,2,0,0,0,0,0
10,41,17,2015,3,0,0,0,2,0
10,42,18,2015,8,0,0,0,0,0
10,42,19,2015,4,0,0,0,0,0
10,42,20,2015,1,0,0,0,0,0
10,42,21,2015,5,0,0,0,0,0
10,42,22,2015,391,0,0,0,0,0
10,42,23,2015,303,0,0,0,0,0
10,42,24,2015,665,0,0,48,9,1
10,43,25,2015,618,0,0,26,4,0
10,43,26,2015,336,2,0,17,1,1
10,43,27,2015,2169,35,0,16,397,13
10,43,28,2015,1534,11,0,9,54,5
10,43,29,2015,298,0,0,0,2,0
10,43,30,2015,23,1,0,0,0,0
10,43,31,2015,185,0,0,0,0,0
11,44,1,2015,889,15,0,1,47,281
11,44,2,2015,13389,1651,1636,989,545,177
11,44,3,2015,60,1,0,7,1,0
11,44,4,2015,28,0,0,2,0,1
11,44,5,2015,14,0,1,3,0,1
11,44,6,2015,5,0,0,0,0,0
11,44,7,2015,5,0,0,1,0,0
11,45,8,2015,1,0,0,0,0,0
11,45,9,2015,7,0,1,1,0,0
11,45,10,2015,2,0,0,0,0,0
11,45,11,2015,4,0,0,1,1,0
11,45,12,2015,2,0,0,0,0,0
11,45,13,2015,2,0,0,0,0,0
11,45,14,2015,2,0,0,0,0,0
11,46,15,2015,1,0,0,1,0,0
11,46,16,2015,6,0,0,0,0,0
11,46,18,2015,1,0,0,0,0,0
11,46,19,2015,3,0,0,0,0,0
11,46,20,2015,1,0,0,0,0,0
11,46,21,2015,1,0,0,0,0,0
11,47,23,2015,2,0,0,0,1,0
12,48,1,2015,1,0,0,0,0,0
12,48,2,2015,1,0,0,0,0,0
12,49,9,2015,2,0,0,1,0,0
12,49,10,2015,3,0,0,0,0,0
12,50,14,2015,1,0,0,0,0,0
12,50,18,2015,1,0,0,0,0,0
12,51,21,2015,18,0,0,0,0,0
12,51,22,2015,6,0,0,0,0,0
12,51,23,2015,1,0,0,0,0,0
12,51,26,2015,2,0,0,0,0,0
12,52,27,2015,1,0,0,1,0,0
12,52,28,2015,3,0,0,0,0,0
12,52,29,2015,1,0,0,0,0,0
12,52,30,2015,1,0,0,0,0,0
1,1,7,2016,1,0,0,0,0,0
1,2,10,2016,1,0,0,0,0,0
1,2,11,2016,1,0,0,1,0,0
1,2,12,2016,2,0,0,1,0,0
1,4,29,2016,6,0,0,0,0,0
2,5,3,2016,1,0,0,0,0,0
2,6,8,2016,2,0,0,0,0,0
2,7,15,2016,4,0,0,0,0,0
2,8,21,2016,1,0,0,0,0,0
2,9,28,2016,2,0,0,0,0,0
3,10,8,2016,1,0,0,0,0,0
3,10,11,2016,1,0,0,0,0,0
3,11,17,2016,3,0,0,0,0,0
3,12,20,2016,1,0,0,0,0,0
3,13,27,2016,1,0,0,0,0,0
3,13,28,2016,1,0,0,0,0,0
3,13,30,2016,1,0,0,0,0,0
3,13,31,2016,1,0,0,0,0,0
4,13,1,2016,1,0,0,0,0,0
4,14,3,2016,6,0,0,0,0,0
4,14,4,2016,6,0,1,0,1,0
4,14,5,2016,2,0,0,0,0,0
4,14,6,2016,1,0,0,0,0,0
4,15,10,2016,2,1,0,0,0,0
