theMonth,theWeek,theDay,theYear,total,WorldSeriesCount,RoyalsCount,TakeTheCrownCount,LGMCount,SFGiantsCount
10,41,16,2014,27078,26545,3963,2725,0,1434
10,41,17,2014,54648,53107,3771,1497,3,7900
10,41,18,2014,13621,13474,1495,1127,0,474
10,42,19,2014,14211,14021,866,817,0,876
10,42,20,2014,27617,27306,2950,2389,0,2717
10,42,21,2014,64171,62690,9478,5819,0,9526
10,42,22,2014,139859,135249,16166,4492,4,27886
10,42,23,2014,99168,95138,16675,4669,2,7782
10,42,24,2014,30281,29545,2712,1460,0,4420
10,42,25,2014,76768,73985,10376,4199,0,7564
10,43,26,2014,93179,90001,8395,3045,4,16997
10,43,27,2014,72299,69815,5800,1987,2,11621
10,43,28,2014,30948,29589,3132,1970,0,4320
10,43,29,2014,184083,175825,31022,11485,15,11701
10,43,30,2014,187562,181659,14502,3771,26,28718
10,43,31,2014,12196,11775,331,24,0,2952
11,43,1,2014,5654,5481,935,11,0,657
11,44,2,2014,2942,2901,730,4,0,194
11,44,3,2014,2073,1970,282,56,0,301
11,44,4,2014,5934,5878,80,9,0,293
11,44,5,2014,1690,1646,55,10,0,706
11,44,6,2014,580,539,26,4,0,152
11,44,7,2014,732,711,24,10,0,55
11,44,8,2014,424,407,14,9,0,35
11,45,9,2014,1023,1001,5,2,0,40
11,45,10,2014,527,475,12,1,0,211
11,45,11,2014,697,686,17,5,1,125
11,45,12,2014,366,347,8,0,0,81
11,45,13,2014,453,449,39,100,0,80
11,45,14,2014,449,442,25,3,0,40
11,45,15,2014,284,279,22,56,0,27
11,46,16,2014,279,271,36,3,0,9
11,46,17,2014,373,364,12,109,0,19
11,46,18,2014,823,816,11,49,0,28
11,46,19,2014,371,358,33,64,0,22
11,46,20,2014,243,239,34,6,0,11
11,46,21,2014,366,356,47,5,0,23
11,46,22,2014,281,263,50,6,0,22
11,47,23,2014,230,229,37,2,0,22
11,47,24,2014,504,500,49,4,0,87
11,47,25,2014,450,444,69,4,0,65
11,47,26,2014,348,337,55,1,0,28
11,47,27,2014,194,193,54,2,0,18
11,47,28,2014,217,217,71,5,0,14
11,47,29,2014,272,260,50,4,0,26
11,48,30,2014,277,271,59,53,0,22
12,48,1,2014,284,279,62,6,0,29
12,48,2,2014,180,178,53,2,0,13
12,48,3,2014,274,270,63,1,0,9
12,48,4,2014,216,215,40,2,0,36
12,48,5,2014,291,290,41,2,0,17
12,48,6,2014,192,191,38,2,0,44
12,49,7,2014,221,215,62,1,0,33
12,49,8,2014,230,227,52,1,0,15
12,49,9,2014,292,286,56,5,0,18
12,49,10,2014,2379,2362,52,1,0,41
12,49,11,2014,1710,1697,11,1,2,42
12,49,12,2014,740,735,32,2,0,8
12,49,13,2014,186,186,4,2,0,14
12,50,14,2014,250,244,0,1,0,6
12,50,15,2014,215,213,14,1,0,11
12,50,16,2014,172,166,3,0,0,30
12,50,17,2014,250,250,3,0,0,115
12,50,18,2014,193,190,8,2,0,35
12,50,19,2014,658,650,9,4,1,7
12,50,20,2014,251,250,0,3,0,16
12,51,21,2014,122,122,4,2,0,5
12,51,22,2014,141,129,1,42,0,3
12,51,23,2014,259,257,8,64,0,32
12,51,24,2014,123,123,3,2,0,10
12,51,25,2014,199,190,3,55,0,15
12,51,26,2014,437,432,2,65,0,11
12,51,27,2014,548,542,4,51,0,16
12,52,28,2014,323,307,0,1,0,13
12,52,29,2014,159,151,2,67,0,13
12,52,30,2014,253,246,1,56,0,29
12,52,31,2014,188,171,7,7,0,26
1,0,1,2015,394,387,5,1,0,22
1,0,2,2015,136,124,7,3,0,14
1,0,3,2015,238,234,5,0,0,5
1,1,4,2015,104,100,1,1,0,7
1,1,5,2015,92,89,4,0,0,19
1,1,6,2015,811,808,8,3,0,20
1,1,7,2015,321,318,4,1,0,22
1,1,8,2015,201,192,3,1,0,16
1,1,9,2015,121,119,3,1,0,5
1,1,10,2015,131,126,10,5,0,13
1,2,11,2015,89,87,5,2,0,7
1,2,12,2015,144,139,18,4,0,19
1,2,13,2015,147,143,6,47,0,7
1,2,14,2015,108,107,7,4,0,8
1,2,15,2015,181,178,0,60,0,4
1,2,16,2015,701,693,0,54,0,10
1,2,17,2015,186,183,5,58,0,2
1,3,18,2015,134,128,2,60,0,5
1,3,19,2015,187,185,2,42,0,1
1,3,20,2015,63,60,1,1,0,2
1,3,21,2015,320,319,4,3,0,9
1,3,22,2015,462,457,3,2,0,3
1,3,23,2015,278,276,3,1,0,4
1,3,24,2015,400,398,0,2,0,7
1,4,25,2015,107,103,0,1,0,7
1,4,26,2015,163,160,0,50,0,4
1,4,27,2015,75,72,5,1,0,3
1,4,28,2015,311,309,4,2,2,12
1,4,29,2015,182,177,1,38,0,1
1,4,30,2015,140,136,8,2,0,6
1,4,31,2015,102,99,4,2,0,5
2,5,1,2015,290,282,2,0,0,6
2,5,2,2015,316,302,5,0,0,12
2,5,3,2015,113,113,4,0,0,0
2,5,4,2015,167,166,19,3,0,19
2,5,5,2015,184,183,1,1,0,8
2,5,6,2015,164,152,14,3,0,12
2,5,7,2015,139,135,7,2,0,12
2,6,8,2015,117,107,4,0,0,4
2,6,9,2015,235,233,10,4,0,28
2,6,10,2015,122,120,0,0,0,2
2,6,11,2015,194,192,2,0,0,2
