theMonth,theWeek,theDay,theYear,total,MLBCount,RoyalsCount,MLBFanCaveCount,MetsCount,SFGiantsCount
10,41,16,2014,1127689,406565,128314,154624,2458,156056
11,43,1,2014,29056,9590,826,4317,5,7793
12,48,1,2014,11936,5379,186,3436,64,907
01,0,1,2015,7029,2454,148,104,5,390
02,5,1,2015,5062,1420,165,19,11,341
03,9,1,2015,2865,554,142,4,2,129
04,14,7,2015,4929,962,57,2,24,545
05,17,1,2015,5614,1570,154,4,10,54
06,22,1,2015,3522,300,28,7,11,344
07,26,1,2015,14874,3440,162,3,24,71
08,30,1,2015,8573,1063,839,5,81,28
09,35,1,2015,13092,5295,294,5,469,33
10,39,1,2015,838461,139846,93544,6,132152,528
11,44,1,2015,427002,74828,87467,4,30249,1598
12,48,1,2015,5933,1382,653,2,475,66
01,0,1,2016,5517,1204,918,4,466,37
02,5,1,2016,5496,1113,885,2,160,56
03,9,1,2016,3848,857,765,2,131,29
04,13,1,2016,5189,1485,1127,0,839,84
