"theMonth","theWeek","theDay","theYear","total","2BCount","GoatCount","HumanCount","DudaCount","4Count","MurphyCount"
10,41,16,2014,1,0,0,0,0,0,1
10,41,17,2014,1,0,0,0,0,0,1
10,42,19,2014,1,0,0,0,0,0,1
10,42,20,2014,1,0,0,0,0,0,1
10,42,21,2014,28,0,0,0,0,1,28
10,42,22,2014,71,0,0,0,0,1,71
10,42,23,2014,21,0,0,0,0,0,21
10,42,24,2014,4,0,0,0,0,1,4
10,42,25,2014,2,0,0,0,0,0,2
10,43,26,2014,6,0,0,0,0,3,6
10,43,27,2014,5,0,0,0,0,0,5
10,43,28,2014,2,0,0,0,0,0,2
10,43,29,2014,13,0,0,0,0,2,13
10,43,30,2014,18,0,0,0,0,3,18
11,45,14,2014,1,0,0,0,0,0,1
12,48,1,2014,1,0,0,0,0,0,1
3,10,8,2015,1,0,1,0,0,0,1
5,18,5,2015,2,0,0,0,0,0,2
5,20,18,2015,1,0,0,0,0,0,1
5,21,24,2015,1,0,0,0,0,0,1
5,21,25,2015,1,0,0,0,0,0,1
5,21,28,2015,1,0,0,0,0,0,1
6,23,11,2015,1,0,0,0,0,0,1
7,30,31,2015,1,0,0,0,0,0,1
8,34,24,2015,3,0,0,0,0,3,3
8,34,27,2015,1,0,0,0,1,0,1
8,34,28,2015,1,0,0,0,0,0,1
9,37,13,2015,1,0,0,0,0,0,1
10,39,2,2015,2,0,0,0,0,0,2
10,40,5,2015,1,0,0,0,0,0,1
10,41,16,2015,2,0,0,0,0,0,2
10,41,17,2015,1,0,0,0,0,0,1
10,42,18,2015,5,0,0,0,0,1,5
10,42,19,2015,12,0,0,0,0,1,12
10,42,20,2015,3,0,0,0,0,1,3
10,42,21,2015,62,3,1,0,0,14,62
10,42,22,2015,6515,2,34,2735,33,179,6515
10,42,23,2015,635,1,452,11,1,8,635
10,42,24,2015,228,0,0,4,1,16,228
10,43,25,2015,93,0,0,3,0,17,93
10,43,26,2015,271,6,0,10,0,65,271
10,43,27,2015,1905,928,0,3,934,102,1905
10,43,28,2015,2477,654,2,11,684,115,2477
10,43,29,2015,964,12,0,0,54,431,964
10,43,30,2015,709,504,0,0,504,18,709
10,43,31,2015,908,504,0,1,507,623,908
11,44,1,2015,3586,364,349,11,369,238,3586
11,44,2,2015,1496,53,17,1,103,95,1496
11,44,3,2015,53,0,2,0,0,4,53
11,44,4,2015,22,1,1,1,3,1,22
11,44,5,2015,11,0,0,0,0,1,11
11,44,6,2015,18,0,0,0,2,1,18
11,44,7,2015,5,0,0,0,0,0,5
11,45,8,2015,3,0,0,0,0,1,3
11,45,9,2015,4,0,0,0,0,0,4
11,45,10,2015,18,0,1,0,0,16,18
11,45,11,2015,2,0,0,0,0,1,2
11,45,12,2015,4,0,0,0,0,4,4
11,45,13,2015,1,0,0,0,0,0,1
11,45,14,2015,24,0,1,0,0,0,24
11,46,16,2015,7,0,0,0,0,1,7
11,46,17,2015,1,0,0,0,0,1,1
11,46,19,2015,1,0,0,0,0,0,1
11,46,20,2015,1,0,0,0,0,0,1
11,47,24,2015,1,0,0,0,0,0,1
11,47,26,2015,4,0,0,0,0,2,4
11,47,28,2015,1,0,0,0,0,0,1
11,48,29,2015,1,0,0,0,0,0,1
11,48,30,2015,2,0,0,0,0,0,2
12,48,5,2015,1,0,0,0,0,0,1
12,49,9,2015,2,0,0,0,0,0,2
12,49,12,2015,1,0,0,0,0,0,1
12,51,20,2015,1,0,0,0,0,0,1
12,51,24,2015,8,0,0,0,0,0,8
12,51,25,2015,5,2,0,0,0,0,5
12,52,28,2015,2,0,1,0,0,0,2
1,0,2,2016,1,0,0,0,0,0,1
1,1,7,2016,3,0,0,0,0,0,3
1,2,10,2016,1,0,0,0,0,0,1
1,2,11,2016,2,0,0,0,0,0,2
1,2,15,2016,1,0,0,0,0,0,1
1,3,19,2016,2,1,0,0,1,1,2
1,3,20,2016,1,0,0,0,0,0,1
1,3,21,2016,2,0,0,0,0,0,2
1,4,26,2016,1,0,0,0,0,0,1
1,4,30,2016,1,0,0,0,0,0,1
1,5,31,2016,1,1,0,0,0,0,1
2,5,1,2016,1,0,0,0,0,0,1
2,8,23,2016,1,0,0,0,0,1,1
2,8,26,2016,1,0,0,0,1,0,1
3,9,1,2016,1,1,0,0,1,0,1
4,14,4,2016,1,0,0,0,0,0,1
4,14,7,2016,1,0,0,0,0,0,1
