"theMonth","theWeek","theDay","theYear","total","RBICount","SandovalCount","HomeAloneCount","TieCount","BeltCount"
10,41,16,2014,101,0,0,0,0,1
10,41,17,2014,222,1,1,0,1,20
10,41,18,2014,19,0,0,0,0,0
10,42,19,2014,39,0,0,0,0,23
10,42,20,2014,564,0,2,1,0,24
10,42,21,2014,442,0,203,0,0,44
10,42,22,2014,8883,105,189,2049,17,2997
10,42,23,2014,1834,1,22,61,10,562
10,42,24,2014,712,0,117,2,1,173
10,42,25,2014,1580,2,96,20,9,108
10,43,26,2014,6367,2023,1756,31,1789,115
10,43,27,2014,1869,78,41,27,6,77
10,43,28,2014,738,4,88,7,1,46
10,43,29,2014,1777,4,221,28,2,132
10,43,30,2014,2630,5,136,39,29,223
10,43,31,2014,134,0,1,0,0,16
11,43,1,2014,45,0,1,0,0,1
11,44,2,2014,13,0,0,0,0,0
11,44,3,2014,10,0,2,1,0,0
11,44,4,2014,15,0,0,0,0,3
11,44,5,2014,14,0,0,0,0,0
11,44,6,2014,6,0,0,0,0,0
11,44,7,2014,4,0,0,0,0,0
11,44,8,2014,1,0,0,0,0,0
11,45,9,2014,3,0,0,0,0,0
11,45,10,2014,198,0,0,0,0,2
11,45,11,2014,43,0,0,1,0,1
11,45,12,2014,2,0,0,0,0,0
11,45,13,2014,1,0,0,0,0,0
11,45,14,2014,7,0,1,0,0,0
11,45,15,2014,2,0,0,0,0,0
11,46,16,2014,2,0,1,0,1,0
11,46,18,2014,1,0,0,0,0,1
11,46,19,2014,1,0,0,0,0,0
11,46,20,2014,2,0,0,0,0,0
11,46,21,2014,1,0,0,0,0,0
11,46,22,2014,3,0,0,0,0,0
11,47,23,2014,3,0,0,1,0,1
11,47,24,2014,1,0,0,0,0,0
11,47,25,2014,4,0,0,2,0,4
11,47,26,2014,6,0,0,0,0,0
11,47,27,2014,3,0,0,0,0,0
11,47,28,2014,2,1,1,0,1,0
11,47,29,2014,2,0,0,0,0,0
11,48,30,2014,4,0,0,1,0,1
12,48,1,2014,1,0,0,0,0,1
12,48,5,2014,1,0,0,0,0,0
12,48,6,2014,1,0,0,0,0,1
12,49,11,2014,52,0,0,0,0,0
12,49,12,2014,2,0,0,0,0,0
12,50,14,2014,1,0,0,0,0,0
